XCoord,YCoord,OID,FIELD1,START_STAT,START_ST_1
-73.95381995,40.69331716,5,5,40.693317,-73.953820
-73.96024116,40.71534825,52,52,40.715348,-73.960241
-73.96024116,40.71534825,66,66,40.715348,-73.960241
-73.96024116,40.71534825,199,199,40.715348,-73.960241
-73.96408963,40.70853074,458,458,40.708531,-73.964090
-73.98963911,40.69246277,496,496,40.692463,-73.989639
-73.98362464,40.69474881,537,537,40.694749,-73.983625
-73.98912867,40.68926942,573,573,40.689269,-73.989129
-73.96023854,40.68900443,585,585,40.689004,-73.960239
-73.98912867,40.68926942,628,628,40.689269,-73.989129
-73.97372989,40.69178232,696,696,40.691782,-73.973730
-73.97703874,40.69327018,712,712,40.693270,-73.977039
-73.96024116,40.71534825,727,727,40.715348,-73.960241
-73.96596410,40.68317813,764,764,40.683178,-73.965964
-73.95381995,40.69331716,789,789,40.693317,-73.953820
-73.96087600,40.71045100,830,830,40.710451,-73.960876
-73.96023854,40.68900443,1102,1102,40.689004,-73.960239
-73.97372989,40.69178232,1122,1122,40.691782,-73.973730
-73.97372989,40.69178232,1123,1123,40.691782,-73.973730
-73.96087600,40.71045100,1185,1185,40.710451,-73.960876
-73.96834101,40.70827295,1256,1256,40.708273,-73.968341
-73.98362464,40.69474881,1293,1293,40.694749,-73.983625
-73.98912867,40.68926942,1312,1312,40.689269,-73.989129
-73.98963911,40.69246277,1439,1439,40.692463,-73.989639
-73.97372989,40.69178232,1477,1477,40.691782,-73.973730
-73.96024116,40.71534825,1540,1540,40.715348,-73.960241
-73.97703874,40.69327018,1614,1614,40.693270,-73.977039
-73.97372989,40.69178232,1621,1621,40.691782,-73.973730
-73.98912867,40.68926942,1689,1689,40.689269,-73.989129
-73.98362464,40.69474881,1732,1732,40.694749,-73.983625
-73.99548059,40.70037867,1736,1736,40.700379,-73.995481
-73.95381995,40.69331716,1766,1766,40.693317,-73.953820
-73.96596410,40.68317813,1851,1851,40.683178,-73.965964
-73.97372989,40.69178232,1934,1934,40.691782,-73.973730
-73.96023854,40.68900443,1994,1994,40.689004,-73.960239
-73.96596410,40.68317813,2034,2034,40.683178,-73.965964
-73.96024116,40.71534825,2062,2062,40.715348,-73.960241
-73.96087600,40.71045100,2132,2132,40.710451,-73.960876
-73.96023854,40.68900443,2200,2200,40.689004,-73.960239
-73.98362464,40.69474881,2280,2280,40.694749,-73.983625
-73.96024116,40.71534825,2284,2284,40.715348,-73.960241
-73.96087600,40.71045100,2383,2383,40.710451,-73.960876
-73.96087600,40.71045100,2384,2384,40.710451,-73.960876
-73.95381995,40.69331716,2452,2452,40.693317,-73.953820
-73.98963911,40.69246277,2517,2517,40.692463,-73.989639
-73.97493121,40.68981035,2557,2557,40.689810,-73.974931
-73.95381995,40.69331716,2598,2598,40.693317,-73.953820
-73.96024116,40.71534825,2652,2652,40.715348,-73.960241
-73.98362464,40.69474881,2694,2694,40.694749,-73.983625
-73.98362464,40.69474881,2704,2704,40.694749,-73.983625
-73.98362464,40.69474881,2732,2732,40.694749,-73.983625
-73.96087600,40.71045100,2821,2821,40.710451,-73.960876
-73.96563307,40.68650065,2940,2940,40.686501,-73.965633
-73.96563307,40.68650065,2980,2980,40.686501,-73.965633
-73.97493121,40.68981035,3080,3080,40.689810,-73.974931
-73.98362464,40.69474881,3096,3096,40.694749,-73.983625
-73.95381995,40.69331716,3178,3178,40.693317,-73.953820
-73.98963911,40.69246277,3205,3205,40.692463,-73.989639
-73.95381995,40.69331716,3214,3214,40.693317,-73.953820
-73.97632328,40.68382604,3236,3236,40.683826,-73.976323
-73.98912867,40.68926942,3248,3248,40.689269,-73.989129
-73.99548059,40.70037867,3267,3267,40.700379,-73.995481
-73.97100056,40.70531194,3352,3352,40.705312,-73.971001
-73.97493121,40.68981035,3415,3415,40.689810,-73.974931
-73.97372989,40.69178232,3559,3559,40.691782,-73.973730
-73.96024116,40.71534825,3776,3776,40.715348,-73.960241
-73.96563307,40.68650065,3793,3793,40.686501,-73.965633
-73.97493121,40.68981035,3978,3978,40.689810,-73.974931
-73.98912867,40.68926942,4016,4016,40.689269,-73.989129
-73.98963911,40.69246277,4059,4059,40.692463,-73.989639
-73.96563307,40.68650065,4108,4108,40.686501,-73.965633
-73.98963911,40.69246277,4136,4136,40.692463,-73.989639
-73.96596410,40.68317813,4185,4185,40.683178,-73.965964
-73.96087600,40.71045100,4220,4220,40.710451,-73.960876
-73.98963911,40.69246277,4242,4242,40.692463,-73.989639
-73.98963911,40.69246277,4262,4262,40.692463,-73.989639
-73.98963911,40.69246277,4265,4265,40.692463,-73.989639
-73.97632328,40.68382604,4280,4280,40.683826,-73.976323
-73.97632328,40.68382604,4354,4354,40.683826,-73.976323
-73.97372989,40.69178232,4471,4471,40.691782,-73.973730
-73.95643107,40.69064950,4543,4543,40.690649,-73.956431
-73.97632328,40.68382604,4616,4616,40.683826,-73.976323
-73.98963911,40.69246277,4655,4655,40.692463,-73.989639
-73.97372989,40.69178232,4656,4656,40.691782,-73.973730
-73.96596410,40.68317813,4871,4871,40.683178,-73.965964
-73.98963911,40.69246277,4958,4958,40.692463,-73.989639
-73.96834101,40.70827295,5037,5037,40.708273,-73.968341
-73.96596410,40.68317813,5097,5097,40.683178,-73.965964
-73.98362464,40.69474881,5157,5157,40.694749,-73.983625
-73.97372989,40.69178232,5244,5244,40.691782,-73.973730
-73.96024116,40.71534825,5313,5313,40.715348,-73.960241
-73.96024116,40.71534825,5434,5434,40.715348,-73.960241
-73.97632328,40.68382604,5446,5446,40.683826,-73.976323
-73.98912867,40.68926942,5481,5481,40.689269,-73.989129
-73.97372989,40.69178232,5546,5546,40.691782,-73.973730
-73.95381995,40.69331716,5559,5559,40.693317,-73.953820
-73.98912867,40.68926942,5627,5627,40.689269,-73.989129
-73.98912867,40.68926942,5781,5781,40.689269,-73.989129
-73.98068914,40.69839895,5815,5815,40.698399,-73.980689
-73.96024116,40.71534825,5989,5989,40.715348,-73.960241
-73.96834101,40.70827295,6083,6083,40.708273,-73.968341
-73.96596410,40.68317813,6140,6140,40.683178,-73.965964
-73.96596410,40.68317813,6141,6141,40.683178,-73.965964
-73.96834101,40.70827295,6258,6258,40.708273,-73.968341
-73.97493121,40.68981035,6566,6566,40.689810,-73.974931
-73.97632328,40.68382604,6580,6580,40.683826,-73.976323
-73.96596410,40.68317813,6615,6615,40.683178,-73.965964
-73.97493121,40.68981035,6667,6667,40.689810,-73.974931
-73.96596410,40.68317813,6710,6710,40.683178,-73.965964
-73.96024116,40.71534825,6774,6774,40.715348,-73.960241
-73.96087600,40.71045100,6790,6790,40.710451,-73.960876
-73.96087600,40.71045100,6797,6797,40.710451,-73.960876
-73.97703874,40.69327018,6913,6913,40.693270,-73.977039
-73.96834101,40.70827295,6968,6968,40.708273,-73.968341
-73.96563307,40.68650065,7089,7089,40.686501,-73.965633
-73.95381995,40.69331716,7364,7364,40.693317,-73.953820
-73.96024116,40.71534825,7391,7391,40.715348,-73.960241
-73.98963911,40.69246277,7480,7480,40.692463,-73.989639
-73.95381995,40.69331716,7488,7488,40.693317,-73.953820
-73.96024116,40.71534825,7773,7773,40.715348,-73.960241
-73.97632328,40.68382604,7774,7774,40.683826,-73.976323
-73.96087600,40.71045100,7825,7825,40.710451,-73.960876
-73.97493121,40.68981035,8034,8034,40.689810,-73.974931
-73.96087600,40.71045100,8093,8093,40.710451,-73.960876
-73.96563307,40.68650065,8329,8329,40.686501,-73.965633
-73.96024116,40.71534825,8448,8448,40.715348,-73.960241
-73.97703874,40.69327018,8481,8481,40.693270,-73.977039
-73.97493121,40.68981035,8518,8518,40.689810,-73.974931
-73.96834101,40.70827295,8642,8642,40.708273,-73.968341
-73.96408963,40.70853074,8643,8643,40.708531,-73.964090
-73.96408963,40.70853074,8651,8651,40.708531,-73.964090
-73.96024116,40.71534825,8668,8668,40.715348,-73.960241
-73.96986848,40.69794000,8680,8680,40.697940,-73.969868
-73.96087600,40.71045100,8698,8698,40.710451,-73.960876
-73.97372989,40.69178232,8762,8762,40.691782,-73.973730
-73.96596410,40.68317813,8890,8890,40.683178,-73.965964
-73.96476280,40.68851534,8954,8954,40.688515,-73.964763
-73.96024116,40.71534825,9054,9054,40.715348,-73.960241
-73.97493121,40.68981035,9064,9064,40.689810,-73.974931
-73.96087600,40.71045100,9121,9121,40.710451,-73.960876
-73.97493121,40.68981035,9296,9296,40.689810,-73.974931
-73.96596410,40.68317813,9307,9307,40.683178,-73.965964
-73.97372989,40.69178232,9363,9363,40.691782,-73.973730
-73.97493121,40.68981035,9420,9420,40.689810,-73.974931
-73.97372989,40.69178232,9532,9532,40.691782,-73.973730
-73.96024116,40.71534825,9548,9548,40.715348,-73.960241
-73.97703874,40.69327018,9795,9795,40.693270,-73.977039
-73.98912867,40.68926942,9880,9880,40.689269,-73.989129
-73.98912867,40.68926942,9927,9927,40.689269,-73.989129
-73.98963911,40.69246277,9934,9934,40.692463,-73.989639
-73.96024116,40.71534825,9960,9960,40.715348,-73.960241
-73.96024116,40.71534825,9972,9972,40.715348,-73.960241
-73.96563307,40.68650065,9975,9975,40.686501,-73.965633
-73.97100056,40.70531194,10182,10182,40.705312,-73.971001
-73.96596410,40.68317813,10209,10209,40.683178,-73.965964
-73.96563307,40.68650065,10217,10217,40.686501,-73.965633
-73.96087600,40.71045100,10317,10317,40.710451,-73.960876
-73.97632328,40.68382604,10377,10377,40.683826,-73.976323
-73.98912867,40.68926942,10378,10378,40.689269,-73.989129
-73.96476280,40.68851534,10437,10437,40.688515,-73.964763
-73.96087600,40.71045100,10521,10521,40.710451,-73.960876
-73.98912867,40.68926942,10632,10632,40.689269,-73.989129
-73.96023854,40.68900443,10832,10832,40.689004,-73.960239
-73.96596410,40.68317813,10862,10862,40.683178,-73.965964
-73.96986848,40.69794000,10868,10868,40.697940,-73.969868
-73.96023854,40.68900443,10902,10902,40.689004,-73.960239
-73.97372989,40.69178232,11030,11030,40.691782,-73.973730
-73.98912867,40.68926942,11036,11036,40.689269,-73.989129
-73.98963911,40.69246277,11061,11061,40.692463,-73.989639
-73.96986848,40.69794000,11366,11366,40.697940,-73.969868
-73.98912867,40.68926942,11373,11373,40.689269,-73.989129
-73.97372989,40.69178232,11616,11616,40.691782,-73.973730
-73.98068914,40.69839895,11635,11635,40.698399,-73.980689
-73.96024116,40.71534825,11661,11661,40.715348,-73.960241
-73.98912867,40.68926942,11663,11663,40.689269,-73.989129
-73.98963911,40.69246277,11708,11708,40.692463,-73.989639
-73.97703874,40.69327018,11749,11749,40.693270,-73.977039
-73.98912867,40.68926942,11823,11823,40.689269,-73.989129
-73.98912867,40.68926942,11882,11882,40.689269,-73.989129
-73.98362464,40.69474881,11973,11973,40.694749,-73.983625
-73.96563307,40.68650065,12048,12048,40.686501,-73.965633
-73.96024116,40.71534825,12160,12160,40.715348,-73.960241
-73.96024116,40.71534825,12188,12188,40.715348,-73.960241
-73.98912867,40.68926942,12206,12206,40.689269,-73.989129
-73.98912867,40.68926942,12308,12308,40.689269,-73.989129
-73.96596410,40.68317813,12357,12357,40.683178,-73.965964
-73.98912867,40.68926942,12423,12423,40.689269,-73.989129
-73.98068914,40.69839895,12438,12438,40.698399,-73.980689
-73.96024116,40.71534825,12500,12500,40.715348,-73.960241
-73.96087600,40.71045100,12609,12609,40.710451,-73.960876
-73.96596410,40.68317813,12617,12617,40.683178,-73.965964
-73.95643107,40.69064950,12626,12626,40.690649,-73.956431
-73.98912867,40.68926942,12637,12637,40.689269,-73.989129
-73.98068914,40.69839895,12647,12647,40.698399,-73.980689
-73.97372989,40.69178232,12669,12669,40.691782,-73.973730
-73.98362464,40.69474881,12798,12798,40.694749,-73.983625
-73.98362464,40.69474881,12805,12805,40.694749,-73.983625
-73.97372989,40.69178232,12889,12889,40.691782,-73.973730
-73.96563307,40.68650065,12926,12926,40.686501,-73.965633
-73.97493121,40.68981035,13008,13008,40.689810,-73.974931
-73.97493121,40.68981035,13119,13119,40.689810,-73.974931
-73.96024116,40.71534825,13129,13129,40.715348,-73.960241
-73.98362464,40.69474881,13153,13153,40.694749,-73.983625
-73.96596410,40.68317813,13193,13193,40.683178,-73.965964
-73.98912867,40.68926942,13458,13458,40.689269,-73.989129
-73.96834101,40.70827295,13570,13570,40.708273,-73.968341
-73.99548059,40.70037867,13618,13618,40.700379,-73.995481
-73.98963911,40.69246277,13622,13622,40.692463,-73.989639
-73.98963911,40.69246277,13635,13635,40.692463,-73.989639
-73.98912867,40.68926942,13742,13742,40.689269,-73.989129
-73.96476280,40.68851534,13822,13822,40.688515,-73.964763
-73.96024116,40.71534825,13853,13853,40.715348,-73.960241
-73.97493121,40.68981035,14073,14073,40.689810,-73.974931
-73.96596410,40.68317813,14103,14103,40.683178,-73.965964
-73.96596410,40.68317813,14174,14174,40.683178,-73.965964
-73.96408963,40.70853074,14223,14223,40.708531,-73.964090
-73.97493121,40.68981035,14303,14303,40.689810,-73.974931
-73.99548059,40.70037867,14334,14334,40.700379,-73.995481
-73.98362464,40.69474881,14424,14424,40.694749,-73.983625
-73.97372989,40.69178232,14434,14434,40.691782,-73.973730
-73.97372989,40.69178232,14495,14495,40.691782,-73.973730
-73.97372989,40.69178232,14511,14511,40.691782,-73.973730
-73.96087600,40.71045100,14538,14538,40.710451,-73.960876
-73.97632328,40.68382604,14540,14540,40.683826,-73.976323
-73.96408963,40.70853074,14554,14554,40.708531,-73.964090
-73.96596410,40.68317813,14581,14581,40.683178,-73.965964
-73.99548059,40.70037867,14590,14590,40.700379,-73.995481
-73.96596410,40.68317813,14612,14612,40.683178,-73.965964
-73.96596410,40.68317813,14651,14651,40.683178,-73.965964
-73.96408963,40.70853074,14652,14652,40.708531,-73.964090
-73.98912867,40.68926942,14683,14683,40.689269,-73.989129
-73.96087600,40.71045100,14707,14707,40.710451,-73.960876
-73.96596410,40.68317813,14732,14732,40.683178,-73.965964
-73.97632328,40.68382604,14791,14791,40.683826,-73.976323
-73.97632328,40.68382604,14792,14792,40.683826,-73.976323
-73.98963911,40.69246277,14876,14876,40.692463,-73.989639
-73.96476280,40.68851534,14924,14924,40.688515,-73.964763
-73.96087600,40.71045100,14943,14943,40.710451,-73.960876
-73.98912867,40.68926942,14970,14970,40.689269,-73.989129
-73.98362464,40.69474881,14981,14981,40.694749,-73.983625
-73.97372989,40.69178232,15042,15042,40.691782,-73.973730
